StockTicker
000001.SZ
000002.SZ
000009.SZ
000012.SZ
000024.SZ
000027.SZ
000039.SZ
000046.SZ
000059.SZ
000060.SZ
000061.SZ
000063.SZ
000069.SZ
000100.SZ
000156.SZ
000157.SZ
000338.SZ
000401.SZ
000402.SZ
000422.SZ
000423.SZ
000425.SZ
000528.SZ
000538.SZ
000539.SZ
000562.SZ
000568.SZ
000581.SZ
000596.SZ
000623.SZ
000625.SZ
000629.SZ
000630.SZ
000651.SZ
000656.SZ
000686.SZ
000703.SZ
000709.SZ
000718.SZ
000725.SZ
000728.SZ
000729.SZ
000750.SZ
000758.SZ
000768.SZ
000776.SZ
000778.SZ
000780.SZ
000783.SZ
000792.SZ
000800.SZ
000807.SZ
000839.SZ
000858.SZ
000869.SZ
000876.SZ
000878.SZ
000883.SZ
000895.SZ
000933.SZ
000937.SZ
000960.SZ
000961.SZ
000963.SZ
000969.SZ
000970.SZ
000983.SZ
000999.SZ
002001.SZ
002007.SZ
002024.SZ
002038.SZ
002051.SZ
002069.SZ
002081.SZ
002092.SZ
002106.SZ
002128.SZ
002142.SZ
002146.SZ
002155.SZ
002202.SZ
002236.SZ
002241.SZ
002269.SZ
002294.SZ
002299.SZ
002304.SZ
002310.SZ
002344.SZ
002353.SZ
002375.SZ
002378.SZ
002385.SZ
002399.SZ
002415.SZ
002422.SZ
002431.SZ
002450.SZ
002500.SZ
002570.SZ
002594.SZ
002603.SZ
002673.SZ
600000.SH
600005.SH
600009.SH
600010.SH
600011.SH
600015.SH
600016.SH
600019.SH
600027.SH
600028.SH
600029.SH
600030.SH
600031.SH
600036.SH
600048.SH
600050.SH
600058.SH
600060.SH
600062.SH
600066.SH
600068.SH
600085.SH
600089.SH
600096.SH
600100.SH
600104.SH
600108.SH
600109.SH
600111.SH
600115.SH
600118.SH
600123.SH
600125.SH
600132.SH
600143.SH
600150.SH
600153.SH
600157.SH
600160.SH
600166.SH
600169.SH
600170.SH
600177.SH
600188.SH
600196.SH
600208.SH
600216.SH
600219.SH
600221.SH
600252.SH
600256.SH
600259.SH
600266.SH
600267.SH
600271.SH
600276.SH
600309.SH
600315.SH
600316.SH
600332.SH
600340.SH
600348.SH
600352.SH
600362.SH
600369.SH
600372.SH
600376.SH
600383.SH
600395.SH
600403.SH
600406.SH
600415.SH
600432.SH
600436.SH
600489.SH
600497.SH
600498.SH
600508.SH
600516.SH
600518.SH
600519.SH
600528.SH
600535.SH
600546.SH
600547.SH
600549.SH
600550.SH
600582.SH
600583.SH
600585.SH
600588.SH
600598.SH
600600.SH
600637.SH
600642.SH
600649.SH
600655.SH
600660.SH
600664.SH
600674.SH
600690.SH
600694.SH
600703.SH
600718.SH
600739.SH
600741.SH
600779.SH
600783.SH
600795.SH
600804.SH
600809.SH
600811.SH
600827.SH
600832.SH
600837.SH
600839.SH
600859.SH
600863.SH
600873.SH
600875.SH
600881.SH
600886.SH
600887.SH
600893.SH
600895.SH
600900.SH
600970.SH
600971.SH
600997.SH
600999.SH
601001.SH
601006.SH
601009.SH
601018.SH
601088.SH
601098.SH
601099.SH
601101.SH
601106.SH
601111.SH
601117.SH
601118.SH
601139.SH
601158.SH
601166.SH
601168.SH
601169.SH
601186.SH
601238.SH
601258.SH
601288.SH
601299.SH
601318.SH
601328.SH
601333.SH
601336.SH
601369.SH
601377.SH
601390.SH
601398.SH
601555.SH
601600.SH
601601.SH
601607.SH
601618.SH
601628.SH
601633.SH
601666.SH
601668.SH
601669.SH
601688.SH
601699.SH
601717.SH
601766.SH
601788.SH
601800.SH
601808.SH
601818.SH
601857.SH
601866.SH
601888.SH
601898.SH
601899.SH
601901.SH
601918.SH
601928.SH
601933.SH
601939.SH
601958.SH
601988.SH
601989.SH
601991.SH
601992.SH
601998.SH
603993.SH
000333.SZ
INDEX
